task_x	src	dst_target	dst_gpt-3.5-turbo	score_gpt-3.5-turbo	price_x	n_tokens_x	src_n_words	task_y	dst_gpt-4-turbo	score_gpt-4-turbo	price_y	n_tokens_y
br2fr	﻿Maro ha beziet an tad, Herri a arc’hantas an ti	﻿Mort et enterré, le père, Herri prit en charge la maison	Mort et ayant perdu son père, Herri hérita de la maison	0.8309279128653559	0.0009645	1059	10	br2fr	Après la mort et l'enterrement du père, Herri prit en charge la maison	0.9076673066331007	0.01014	1092
br2fr	  Goude, e lâras d’e vreur: — Mar karez dont ganin war ar marc’h, ne vi ket skuiz ha ni ‘yelo hon-daou da vale bro	  Ensuite, il dit à son frère : — Si tu veux venir avec moi à cheval, tu ne seras pas fatigué et nous irons tous les deux voyager	 Ensuite, il dit à son frère: - Si tu veux venir avec moi à cheval, ne sois pas effrayé et nous irons tous les deux visiter le pays	0.8904510385944994	0.0009645	1059	26	br2fr	 Ensuite, il dit à son frère : — Si tu veux venir avec moi à cheval, tu ne seras pas fatigué et nous irons tous les deux nous promener	0.9596503067859287	0.01014	1092
br2fr	  — Ya zur, eme Charlez	  — Oui, bien sûr, répondit Charles	 - Oui bien sûr, dit Charles	0.9011052488145153	0.0009645	1059	7	br2fr	 — Oui, bien sûr, répondit Charles	0.9643966306004984	0.01014	1092
br2fr	  Setu i o-daou war gein Dienez; Keun a rede war-lerc’h	  Les voilà tous deux sur le dos de Dienez ; Keun courait derrière	 Voilà les deux sur le cheval de Dienez; Keun les suivait derrière	0.803378274298773	0.0009645	1059	12	br2fr	 Les voilà tous deux sur le dos de Dienez ; Keun courait derrière eux	0.9712217989357768	0.01014	1092
br2fr	  Mes Herri a oa eur breur fall, henvel a-walc’h ouz Kaïn	  Mais Herri était un mauvais frère, semblable à Caïn	 Mais Herri était un mauvais frère, semblable à Caïn	0.9626935126089162	0.0009645	1059	13	br2fr	 Mais Herri était un mauvais frère, assez semblable à Caïn	0.9482182963320179	0.01014	1092
br2fr	  Pa oant arru pell diouz ar gêr, hag hen o tiskenn da zibri eun tamm, hag o lâret neuze d’e vreur: — Arsa! emean, neo ket c’hoariou a zo ganimp; ro d'in-me da arc’hant ha da gi, peotramant out maro	  Lorsqu'ils furent loin de la maison, et qu'il descendit pour manger un morceau, il dit ensuite à son frère : — Voilà ! Ce ne sont pas des jeux que nous avons ; donne-moi ton argent et ton chien, sinon tu es mort	 Quand ils furent loin du village, et qu'il eut tiré un peu, il dit alors à son frère: - Allons! moi, je n'ai pas de jeux; donne-moi ton argent et ton cheval, sinon tu meurs	0.7920952606473862	0.0009645	1059	42	br2fr	 Lorsqu'ils furent loin de la maison, et lui descendant pour manger un morceau, il dit alors à son frère : — Voilà ! dit-il, ce ne sont pas des jeux que nous avons ; donne-moi ton argent et ton chien, sinon tu es mort	0.9764929884718603	0.01014	1092
br2fr	 C’hoant an nevoa da gaout pep tra evitan e-unan: an arc’hant, da brenan dilhad kaer, hag ar c’hi ive, evit bean stummet brao, ha sevel en renk, mar gallje	 Il voulait tout avoir pour lui seul : l'argent, pour acheter de beaux vêtements, et le chien aussi, pour être bien vu et monter en grade, s'il le pouvait	 Il voulait tout avoir pour lui seul: l'argent, pour acheter de beaux vêtements, et le cheval aussi, pour être monté fièrement et se mettre en rang, s'il le pouvait	0.8876481084578424	0.0009645	1059	30	br2fr	 Il voulait tout avoir pour lui seul : l'argent, pour acheter de beaux vêtements, et le chien aussi, pour être bien dressé, et monter en grade, s'il le pouvait	0.9870610937181845	0.01014	1092
br2fr	  E vreur a chomas sebezet o klevet anean, ken na oa ket evit komz	  Son frère resta stupéfait en l'entendant, au point qu'il ne pouvait pas parler	 Son frère restait assis à l'écouter, sans rien dire	0.7270209158718469	0.0009645	1059	16	br2fr	 Son frère resta stupéfait en l'entendant, au point qu'il ne pouvait pas parler	0.9747627675562083	0.01014	1092
br2fr	 Mes heman a grogas en e vleo hag, o tennan e gontell, e troc’has d’ean e c’houg, e taolas anean en doufle, hag e laeras an arc’hant	  Mais celui-ci saisit ses cheveux et, tirant son couteau, lui coupa la gorge, le jeta dans le fossé et vola l'argent	 Mais lui, il se mit en colère et, tirant son couteau, il le planta dans son ventre, et lui dit l'argent	0.6631161579281776	0.0009645	1059	28	br2fr	 Mais celui-ci saisit ses cheveux et, tirant son couteau, lui coupa la gorge, le jeta dans un fossé, et vola l'argent	0.9484162914856473	0.01014	1092
br2fr	  Neuze e lammas adarre war e varc’h hag a-rôk, en eur c’hervel ar c’hi: — Keun! Keun	  Puis il sauta de nouveau sur son cheval et partit, en appelant le chien : — Keun ! Keun	 Alors il remonta sur son cheval et partit, en faisant tourner le cheval: - Keun! Keun	0.8402008863956464	0.0009645	1059	19	br2fr	 Puis il sauta de nouveau sur son cheval et partit, en appelant le chien : — Keun ! Keun	0.9863088088984195	0.01014	1092
br2fr	 Ar c’hi paour a ooa chomet e-kichen e vestr lazet	 Le pauvre chien était resté à côté de son maître tué	 Le pauvre cheval était resté près de son maître tué	0.851873476054537	0.0009645	1059	11	br2fr	 Le pauvre chien était resté à côté de son maître tué	0.999838139944339	0.01014	1092
